method,status,objective,time,n_scenarios,n_facilities,instance,config,price_levels,gap_vs_continuous,rho,iterations
Continuous Price MIQP,2,-29955.158240831526,0.15961289405822754,10,3,1,c10_f5_cf2,,,,
Discrete Price MILP,2,-28947.764921716484,0.026035070419311523,10,3,1,c10_f5_cf2,3.0,0.033630044983099995,,
Discrete Price MILP,2,-29424.320914066928,0.06451797485351562,10,3,1,c10_f5_cf2,5.0,0.017721065684140513,,
Discrete Price MILP,2,-29848.04289519262,0.10812878608703613,10,3,1,c10_f5_cf2,8.0,0.0035758564444136297,,
Discrete Price MILP,2,-29871.137916168827,0.1381380558013916,10,3,1,c10_f5_cf2,10.0,0.0028048699989229806,,
Discrete Price MILP,2,-29932.755821216106,0.3317840099334717,10,3,1,c10_f5_cf2,15.0,0.0007478651735140573,,
Progressive Hedging,converged,-29045.611844447725,1.1368217468261719,10,3,1,c10_f5_cf2,,0.030363598451768784,5000.0,4.0
Continuous Price MIQP,2,-29884.142424114445,1.3670310974121094,20,3,1,c10_f5_cf2,,,,
Discrete Price MILP,2,-28932.4043954011,0.0546109676361084,20,3,1,c10_f5_cf2,3.0,0.031847593790925,,
Discrete Price MILP,2,-29357.9176585986,0.12484407424926758,20,3,1,c10_f5_cf2,5.0,0.017608829393451795,,
Discrete Price MILP,2,-29788.184660303406,0.2267131805419922,20,3,1,c10_f5_cf2,8.0,0.0032109927214644543,,
Discrete Price MILP,2,-29794.899915639802,0.34119391441345215,20,3,1,c10_f5_cf2,10.0,0.0029862830663874183,,
Discrete Price MILP,2,-29862.562786151095,0.47055506706237793,20,3,1,c10_f5_cf2,15.0,0.0007221099958999315,,
Progressive Hedging,converged,-29029.726954633003,2.3230700492858887,20,3,1,c10_f5_cf2,,0.02859093151664235,5000.0,4.0
Continuous Price MIQP,2,-29913.289751945365,2.8769330978393555,50,3,1,c10_f5_cf2,,,,
Discrete Price MILP,2,-28841.39328547331,0.19132709503173828,50,3,1,c10_f5_cf2,3.0,0.03583345313607127,,
Discrete Price MILP,2,-29379.25503483187,0.5019509792327881,50,3,1,c10_f5_cf2,5.0,0.017852757805709624,,
Discrete Price MILP,2,-29821.869020981314,0.6989099979400635,50,3,1,c10_f5_cf2,8.0,0.0030561911351828517,,
Discrete Price MILP,2,-29827.082128341164,0.9990768432617188,50,3,1,c10_f5_cf2,10.0,0.002881917178587649,,
Discrete Price MILP,2,-29894.383427864126,2.4050488471984863,50,3,1,c10_f5_cf2,15.0,0.000632037607298266,,
Progressive Hedging,converged,-28938.709534362148,7.528012990951538,50,3,1,c10_f5_cf2,,0.03258017508822604,5000.0,5.0
