method,status,objective,time,n_scenarios,n_facilities,instance,config,price_levels,gap_vs_continuous,rho,iterations
Continuous Price MIQP,2,-143290.1700204263,9.176950931549072,10,11.0,1,c50_f20_cf6,,,,
Discrete Price MILP,2,-140172.1060006277,0.46307802200317383,10,12.0,1,c50_f20_cf6,3.0,0.021760487961973288,,
Discrete Price MILP,2,-141270.222300331,0.75870680809021,10,11.0,1,c50_f20_cf6,5.0,0.014096903645290978,,
Discrete Price MILP,2,-142946.4815643527,1.4863407611846924,10,11.0,1,c50_f20_cf6,8.0,0.0023985487352315487,,
Discrete Price MILP,2,-143021.8867776857,3.1433451175689697,10,11.0,1,c50_f20_cf6,10.0,0.0018723073795108612,,
Discrete Price MILP,2,-143209.44688723618,6.569307088851929,10,11.0,1,c50_f20_cf6,15.0,0.0005633542983347728,,
Progressive Hedging,converged,-139552.23983393816,24.541255950927734,10,11.0,1,c50_f20_cf6,,0.02608643835062302,5000.0,12.0
Continuous Price MIQP,2,-143000.74512689374,16.083653211593628,20,11.0,1,c50_f20_cf6,,,,
Discrete Price MILP,2,-139631.55817105732,1.0590271949768066,20,13.0,1,c50_f20_cf6,3.0,0.023560625176090734,,
Discrete Price MILP,2,-140930.58985453856,2.341799259185791,20,11.0,1,c50_f20_cf6,5.0,0.014476534863634488,,
Discrete Price MILP,2,-142623.80415348464,1.8371450901031494,20,11.0,1,c50_f20_cf6,8.0,0.002635937127982224,,
Discrete Price MILP,2,-142735.309571534,3.2335269451141357,20,11.0,1,c50_f20_cf6,10.0,0.0018561830228522103,,
Discrete Price MILP,2,-142901.27137862513,10.947159051895142,20,11.0,1,c50_f20_cf6,15.0,0.0006956169926271947,,
Progressive Hedging,converged,-138429.05802832253,26.12484312057495,20,11.0,1,c50_f20_cf6,,0.031969673266488675,5000.0,6.0
Continuous Price MIQP,2,-143053.98411241578,127.16990685462952,50,11.0,1,c50_f20_cf6,,,,
Discrete Price MILP,2,-139862.07655053455,1.8066596984863281,50,12.0,1,c50_f20_cf6,3.0,0.02231260863991698,,
Discrete Price MILP,2,-140923.01434134613,8.690860986709595,50,11.0,1,c50_f20_cf6,5.0,0.014896263003727837,,
Discrete Price MILP,2,-142700.04209613596,6.63678503036499,50,11.0,1,c50_f20_cf6,8.0,0.0024741849622425213,,
Discrete Price MILP,2,-142781.6316864071,18.116492986679077,50,11.0,1,c50_f20_cf6,10.0,0.001903843697178322,,
Discrete Price MILP,2,-142982.59462423943,41.18125295639038,50,11.0,1,c50_f20_cf6,15.0,0.0004990387972714939,,
Progressive Hedging,max_iter,-139049.90045850197,1289.4326758384705,50,11.0,1,c50_f20_cf6,,0.027990018444836118,5000.0,100.0
Continuous Price MIQP,2,-142967.46584379656,507.41361808776855,100,11.0,1,c50_f20_cf6,,,,
Discrete Price MILP,2,-139806.7371434835,5.523538827896118,100,12.0,1,c50_f20_cf6,3.0,0.022108027736648824,,
Discrete Price MILP,2,-140902.28167438798,75.1729679107666,100,11.0,1,c50_f20_cf6,5.0,0.014445133773756289,,
Discrete Price MILP,2,-142642.96669343425,145.43465304374695,100,11.0,1,c50_f20_cf6,8.0,0.002269741220123771,,
Discrete Price MILP,2,-142728.74957626956,219.15505409240723,100,11.0,1,c50_f20_cf6,10.0,0.0016697244098025103,,
Discrete Price MILP,2,-142888.30785209595,260.0126748085022,100,11.0,1,c50_f20_cf6,15.0,0.0005536783577537037,,
Progressive Hedging,converged,-138620.64821377135,596.3504369258881,100,11.0,1,c50_f20_cf6,,0.030404243401603387,5000.0,24.0
Continuous Price MIQP,9,,600.7450487613678,200,,1,c50_f20_cf6,,,,
Discrete Price MILP,2,-139763.2163163107,16.252049922943115,200,12.0,1,c50_f20_cf6,3.0,,,
Discrete Price MILP,2,-140837.44743160042,88.34843111038208,200,11.0,1,c50_f20_cf6,5.0,,,
Discrete Price MILP,2,-142622.6550604781,569.7267229557037,200,11.0,1,c50_f20_cf6,8.0,,,
Discrete Price MILP,9,,602.7650289535522,200,,1,c50_f20_cf6,10.0,,,
Discrete Price MILP,9,,603.6776549816132,200,,1,c50_f20_cf6,15.0,,,
Progressive Hedging,converged,-138335.09951444552,481.8117561340332,200,12.0,1,c50_f20_cf6,,,5000.0,10.0
